大学名,学部,学科
旭川医科,医,医－前
旭川医科,医,看護－前
旭川医科,医,看護－後
旭川市立,経済,経営経済－前
旭川市立,経済,経営経済－後
旭川市立,保健福祉,コミュニティ－前
旭川市立,保健福祉,保健看護－前
旭川市立,保健福祉,コミュニティ－中
旭川市立,保健福祉,保健看護－中
旭川市立,地域創造,地域創造－前
旭川市立,地域創造,地域創造－後
小樽商科,商,前期
小樽商科,商,後期
小樽商科,商－夜,前期
帯広畜産,畜産,共同獣医学－前
帯広畜産,畜産,畜産科学－前
帯広畜産,畜産,共同獣医学－後
帯広畜産,畜産,畜産科学－後
北見工業,工,先進工－前
北見工業,工,先進工－後
釧路公立,経済,前期
釧路公立,経済,中期
公立千歳科学技術,理工,前期
公立千歳科学技術,理工,中期
公立はこだて未来,システム,前期
公立はこだて未来,システム,後期
札幌医科,医,医（札医大）－前
札幌医科,医,医（一般枠）－前
札幌医科,保健医療,看護－前
札幌医科,保健医療,理学療法－前
札幌医科,保健医療,作業療法－前
札幌市立,看護,看護－前
札幌市立,デザイン,デザイン－前
名寄市立,保健福祉,栄養－前
名寄市立,保健福祉,看護－前
名寄市立,保健福祉,社会福祉－前
名寄市立,保健福祉,社会保育－前
名寄市立,保健福祉,栄養－後
名寄市立,保健福祉,看護－後
名寄市立,保健福祉,社会福祉－後
名寄市立,保健福祉,社会保育－後
北海道,総合文系,前期
北海道,文,人文科学－前
北海道,文,人文科学－後
北海道,教育,教育－前
北海道,教育,教育－後
北海道,法,法学－前
北海道,法,法学－後
北海道,経済,前期
北海道,経済,後期
北海道,総合理系,数学重点－前
北海道,総合理系,物理重点－前
北海道,総合理系,化学重点－前
北海道,総合理系,生物重点－前
北海道,総合理系,総合科学－前
北海道,理,数学－後
北海道,理,物理－後
北海道,理,化学－後
北海道,理,生物－生物学－後
北海道,理,生物－高分子－後
北海道,理,地球惑星科学－後
北海道,工,応用理工系－後
北海道,工,情報エレクト－後
北海道,工,機械知能工－後
北海道,工,環境社会工－後
北海道,農,後期
北海道,獣医,共同獣医学－前
北海道,獣医,共同獣医学－後
北海道,水産,前期
北海道,水産,後期
北海道,医,医－前
北海道,医,保－看護学－前
北海道,医,保－放射線－前
北海道,医,保－検査技術－前
北海道,医,保－理学療法－前
北海道,医,保－作業療法－前
北海道,歯,歯－前
北海道,薬,後期
北海道教育,教育札幌,教－学校教育－前
北海道教育,教育札幌,教－特別支援－前
北海道教育,教育札幌,教－言語社会－前
北海道教育,教育札幌,教－理数教育－前
北海道教育,教育札幌,教－生活創造－前
北海道教育,教育札幌,教－図工美術－前
北海道教育,教育札幌,教－音楽教育－前
北海道教育,教育札幌,教－保健体育－前
北海道教育,教育札幌,教－養護教育－前
北海道教育,教育札幌,教－学校教育－後
北海道教育,教育札幌,教－特別支援－後
北海道教育,教育札幌,教－言語社会－後
北海道教育,教育札幌,教－理数教育－後
北海道教育,教育札幌,教－生活創造－後
北海道教育,教育旭川,教－教育発達－前
北海道教育,教育旭川,教－国語－前
北海道教育,教育旭川,教－英語－前
北海道教育,教育旭川,教－社会科－前
北海道教育,教育旭川,教－数学－前
北海道教育,教育旭川,教－理科－前
北海道教育,教育旭川,教－生活技術－前
北海道教育,教育旭川,教－音楽－前
北海道教育,教育旭川,教－美術－前
北海道教育,教育旭川,教－保健体育－前
北海道教育,教育旭川,教－教育発達－後
北海道教育,教育旭川,教－国語－後
北海道教育,教育旭川,教－英語－後
北海道教育,教育旭川,教－社会科－後
北海道教育,教育旭川,教－数学－後
北海道教育,教育旭川,教－理科－後
北海道教育,教育旭川,教－生活技術－後
北海道教育,教育釧路,教－地域学校－前
北海道教育,教育釧路,教－地域学校－後
北海道教育,教育函館,国－国際協働－前
北海道教育,教育函館,国－地域政策－前
北海道教育,教育函館,国－地域環境－前
北海道教育,教育函館,国－地域教育－前
北海道教育,教育函館,国－国際協働－後
北海道教育,教育函館,国－地域政策－後
北海道教育,教育函館,国－地域環境－後
北海道教育,教育函館,国－地域教育－後
北海道教育,教育岩見沢,芸－芸術スポ－前
北海道教育,教育岩見沢,芸－声楽－前
北海道教育,教育岩見沢,芸－鍵盤作曲－前
北海道教育,教育岩見沢,芸－管弦打楽－前
北海道教育,教育岩見沢,芸－音楽教育－前
北海道教育,教育岩見沢,芸－美術文化－前
北海道教育,教育岩見沢,芸－芸術スポ－後
北海道教育,教育岩見沢,芸－音楽文化－後
北海道教育,教育岩見沢,芸－美術文化－後
北海道教育,教育岩見沢,芸－スポーツ－前
北海道教育,教育岩見沢,芸－スポーツ－後
室蘭工業,理工,創造工－前
室蘭工業,理工,システム理化－前
室蘭工業,理工,創造工－後
室蘭工業,理工,システム理化－後
室蘭工業,理工－夜,創造工－前
室蘭工業,理工－夜,創造工－後
青森県立保健,健康科学,看護－前
青森県立保健,健康科学,理学療法－前
青森県立保健,健康科学,社会福祉－前
青森県立保健,健康科学,栄養－前
青森県立保健,健康科学,看護－後
青森県立保健,健康科学,理学療法－後
青森県立保健,健康科学,社会福祉－後
青森県立保健,健康科学,栄養－後
青森公立,経営経済,経営（国数）－前
青森公立,経営経済,経営（国英）－前
青森公立,経営経済,経済（国数）－前
青森公立,経営経済,経済（国英）－前
青森公立,経営経済,地域（国数）－前
青森公立,経営経済,地域（国英）－前
青森公立,経営経済,経営－後
青森公立,経営経済,経済－後
弘前,人文社会,文化創生－前
弘前,人文社会,社会経営（国）前
弘前,人文社会,社会経営（数）前
弘前,人文社会,文化創生－後
弘前,人文社会,社会経営－後
